"","code","description"
"2","ABRSKFLG","Absolute Risk Incomplete Data Flag"
"3","ABRSKRGC","Absolute Risk (Risk of CVD event in next 5 years) ranged item"
"5","ACINACTR","Whether used active or inactive transport in last week"
"6","ACRIPA","Albumin Creatinine Ratio (ACR) status (mg/mmol)"
"7","ACRNTR","Albuminuria status (mg/mmol)"
"16","ADDSUG1N","Added sugars (Food Standards) (day 1) (g)"
"17","ADDSUG2N","Added sugars (Food Standards) (day 2) (g)"
"21","ADORGWK","Whether did organised moderate/vigorous physical activity in last week"
"23","ADTOTCOM","Total minutes spent sitting or lying down to use a computer or the Internet in the last week"
"24","ADTOTEG","Total minutes spent sitting or lying down to play electronic games in the last week"
"25","ADTOTLE","Total minutes spent sitting or lying down to do other leisure activities in the last week"
"26","ADTOTPH","Total minutes spent sitting or lying down to use a phone in the last week"
"27","ADTOTSC","Total minutes spent sitting or lying down to do screen-based activities in the last week"
"28","ADTOTSE","Total mins spent sitting or lying down for work, transport and leisure activities in the last week"
"29","ADTOTSEL","Total minutes spent sitting or lying down for leisure activities in the last week"
"30","ADTOTTV","Total minutes spent sitting or lying down to watch television or videos in the last week"
"36","AGEEC","Age of person"
"44","ALAF1","Alpha-linolenic Acid (food) Day 1 g"
"45","ALAF2","Alpha-linolenic Acid (food) Day 2 g"
"47","ALAPER1","Percentage of energy from alpha linolenic acid (Day1)"
"48","ALAPER2","Percentage of energy from alpha linolenic acid (Day2)"
"49","ALAS1","Alpha-linolenic Acid (supplement) Day 1 g"
"50","ALAS2","Alpha-linolenic Acid (supplement) Day 2 g"
"51","ALAT1","Alpha-linolenic Acid (total) Day 1 g"
"52","ALAT2","Alpha-linolenic Acid (total) Day 2 g"
"58","ALCF1","Alcohol (food) Day 1 g"
"61","ALCF2","Alcohol (food) Day 2 g"
"73","ALCPER1","Percentage of energy from alcohol (Day1)"
"74","ALCPER2","Percentage of energy from alcohol (Day2)"
"80","ALCT1","Alcohol (total) Day 1 g"
"81","ALCT2","Alcohol (total) Day 2 g"
"89","ALTNTR","Alanine aminotransferase (ALT) status (U/L)"
"94","ANZSICC","Industry ANZSIC 2006 Code"
"95","APOBNTR","Apolipoprotein B (ApoB) status (g/L)"
"109","ATEMLS","Whether the amount eaten yesterday was more, less or about the same as usual"
"110","ATEMLSCT","Whether the amount eaten yesterday was more, less or about the same as usual (CATI)"
"111","ATSI0T14","Number of Aboriginal and Torres Strait Islander children aged 0-14 years in household"
"112","ATSI0T17","Number of Aboriginal and Torres Strait Islander children aged 0-17 years in household"
"113","ATSI15OV","Number of Aboriginal and Torres Strait Islander persons over 14 years in household "
"114","ATSI18OV","Number of Aboriginal and Torres Strait Islander adults in household"
"137","B12F1","B12 (food) Day 1 µg"
"138","B12F2","B12 (food) Day 2 µg"
"140","B12S1","B12 (supplement) Day 1 µg"
"141","B12S2","B12 (supplement) Day 2 µg"
"142","B12T1","B12 (total) Day 1 µg"
"143","B12T2","B12 (total) Day 2 µg"
"145","B1F1","Thiamin (B1) (food) Day 1 mg"
"146","B1F2","Thiamin (B1) (food) Day 2 mg"
"148","B1S1","Thiamin (B1) (supplement) Day 1 mg"
"149","B1S2","Thiamin (B1) (supplement) Day 2 mg"
"150","B1T1","Thiamin (B1) (total) Day 1 mg"
"151","B1T2","Thiamin (B1) (total) Day 2 mg"
"152","B2F1","Riboflavin (B2) (food) Day 1 mg"
"153","B2F2","Riboflavin (B2) (food) Day 2 mg"
"155","B2S1","Riboflavin (B2) (supplement) Day 1 mg"
"156","B2S2","Riboflavin (B2) (supplement) Day 2 mg"
"157","B2T1","Riboflavin (B2) (total) Day 1 mg"
"158","B2T2","Riboflavin (B2) (total) Day 2 mg"
"159","B3F1","Niacin (B3) (food) Day 1 mg"
"160","B3F2","Niacin (B3) (food) Day 2 mg"
"162","B3S1","Niacin (B3) (supplement) Day 1 mg"
"163","B3S2","Niacin (B3) (supplement) Day 2 mg"
"164","B3T1","Niacin (B3) (total) Day 1 mg"
"165","B3T2","Niacin (B3) (total) Day 2 mg"
"166","B6F1","B6 (food) Day 1 mg"
"167","B6F2","B6 (food) Day 2 mg"
"169","B6S1","B6 (supplement) Day 1 mg"
"170","B6S2","B6 (supplement) Day 2 mg"
"171","B6T1","B6 (total) Day 1 mg"
